i	dbcode	exp	id	isParent	name	open	pid	wd
0	fsnd		110000	True	北京市	False	100001	reg
1	fsnd		120000	True	天津市	False	100001	reg
2	fsnd		130000	True	河北省	False	100001	reg
3	fsnd		140000	True	山西省	False	100001	reg
4	fsnd		150000	True	内蒙古自治区	False	100001	reg
0	fsnd		210000	True	辽宁省	False	100002	reg
1	fsnd		220000	True	吉林省	False	100002	reg
2	fsnd		230000	True	黑龙江省	False	100002	reg
0	fsnd		310000	True	上海市	False	100003	reg
1	fsnd		320000	True	江苏省	False	100003	reg
2	fsnd		330000	True	浙江省	False	100003	reg
3	fsnd		340000	True	安徽省	False	100003	reg
4	fsnd		350000	True	福建省	False	100003	reg
5	fsnd		360000	True	江西省	False	100003	reg
6	fsnd		370000	True	山东省	False	100003	reg
0	fsnd		410000	True	河南省	False	100004	reg
1	fsnd		420000	True	湖北省	False	100004	reg
2	fsnd		430000	True	湖南省	False	100004	reg
3	fsnd		440000	True	广东省	False	100004	reg
4	fsnd		450000	True	广西壮族自治区	False	100004	reg
5	fsnd		460000	True	海南省	False	100004	reg
0	fsnd		500000	True	重庆市	False	100005	reg
1	fsnd		510000	True	四川省	False	100005	reg
2	fsnd		520000	True	贵州省	False	100005	reg
3	fsnd		530000	True	云南省	False	100005	reg
4	fsnd		540000	True	西藏自治区	False	100005	reg
0	fsnd		610000	True	陕西省	False	100006	reg
1	fsnd		620000	True	甘肃省	False	100006	reg
2	fsnd		630000	True	青海省	False	100006	reg
3	fsnd		640000	True	宁夏回族自治区	False	100006	reg
4	fsnd		650000	True	新疆维吾尔自治区	False	100006	reg
0	fsnd		310000	True	上海市	False	200001	reg
1	fsnd		320000	True	江苏省	False	200001	reg
2	fsnd		330000	True	浙江省	False	200001	reg
0	fsnd		110000	True	北京市	False	200002	reg
1	fsnd		120000	True	天津市	False	200002	reg
2	fsnd		130000	True	河北省	False	200002	reg
3	fsnd		210000	True	辽宁省	False	200002	reg
4	fsnd		370000	True	山东省	False	200002	reg
0	fsnd		350000	True	福建省	False	200003	reg
1	fsnd		360000	True	江西省	False	200003	reg
2	fsnd		430000	True	湖南省	False	200003	reg
3	fsnd		440000	True	广东省	False	200003	reg
4	fsnd		450000	True	广西壮族自治区	False	200003	reg
5	fsnd		460000	True	海南省	False	200003	reg
6	fsnd		510000	True	四川省	False	200003	reg
7	fsnd		520000	True	贵州省	False	200003	reg
8	fsnd		530000	True	云南省	False	200003	reg
0	fsnd		110000	True	北京市	False	200004	reg
1	fsnd		120000	True	天津市	False	200004	reg
2	fsnd		130000	True	河北省	False	200004	reg
3	fsnd		210000	True	辽宁省	False	200004	reg
4	fsnd		310000	True	上海市	False	200004	reg
5	fsnd		320000	True	江苏省	False	200004	reg
6	fsnd		330000	True	浙江省	False	200004	reg
7	fsnd		350000	True	福建省	False	200004	reg
8	fsnd		370000	True	山东省	False	200004	reg
9	fsnd		440000	True	广东省	False	200004	reg
10	fsnd		460000	True	海南省	False	200004	reg
0	fsnd		150000	True	内蒙古自治区	False	200005	reg
1	fsnd		450000	True	广西壮族自治区	False	200005	reg
2	fsnd		500000	True	重庆市	False	200005	reg
3	fsnd		510000	True	四川省	False	200005	reg
4	fsnd		520000	True	贵州省	False	200005	reg
5	fsnd		530000	True	云南省	False	200005	reg
6	fsnd		540000	True	西藏自治区	False	200005	reg
7	fsnd		610000	True	陕西省	False	200005	reg
8	fsnd		620000	True	甘肃省	False	200005	reg
9	fsnd		630000	True	青海省	False	200005	reg
10	fsnd		640000	True	宁夏回族自治区	False	200005	reg
11	fsnd		650000	True	新疆维吾尔自治区	False	200005	reg
0	fsnd		210000	True	辽宁省	False	800001	reg
1	fsnd		220000	True	吉林省	False	800001	reg
2	fsnd		230000	True	黑龙江省	False	800001	reg
0	fsnd		110000	True	北京市	False	800002	reg
1	fsnd		120000	True	天津市	False	800002	reg
2	fsnd		130000	True	河北省	False	800002	reg
3	fsnd		370000	True	山东省	False	800002	reg
0	fsnd		310000	True	上海市	False	800003	reg
1	fsnd		320000	True	江苏省	False	800003	reg
2	fsnd		330000	True	浙江省	False	800003	reg
0	fsnd		350000	True	福建省	False	800004	reg
1	fsnd		440000	True	广东省	False	800004	reg
2	fsnd		460000	True	海南省	False	800004	reg
0	fsnd		140000	True	山西省	False	800005	reg
1	fsnd		150000	True	内蒙古自治区	False	800005	reg
2	fsnd		410000	True	河南省	False	800005	reg
3	fsnd		610000	True	陕西省	False	800005	reg
0	fsnd		340000	True	安徽省	False	800006	reg
1	fsnd		360000	True	江西省	False	800006	reg
2	fsnd		420000	True	湖北省	False	800006	reg
3	fsnd		430000	True	湖南省	False	800006	reg
0	fsnd		450000	True	广西壮族自治区	False	800007	reg
1	fsnd		500000	True	重庆市	False	800007	reg
2	fsnd		510000	True	四川省	False	800007	reg
3	fsnd		520000	True	贵州省	False	800007	reg
4	fsnd		530000	True	云南省	False	800007	reg
0	fsnd		540000	True	西藏自治区	False	800008	reg
1	fsnd		620000	True	甘肃省	False	800008	reg
2	fsnd		630000	True	青海省	False	800008	reg
3	fsnd		640000	True	宁夏回族自治区	False	800008	reg
4	fsnd		650000	True	新疆维吾尔自治区	False	800008	reg
0	fsnd		110000	True	北京市	False	900001	reg
1	fsnd		120000	True	天津市	False	900001	reg
2	fsnd		130000	True	河北省	False	900001	reg
3	fsnd		210000	True	辽宁省	False	900001	reg
4	fsnd		310000	True	上海市	False	900001	reg
5	fsnd		320000	True	江苏省	False	900001	reg
6	fsnd		330000	True	浙江省	False	900001	reg
7	fsnd		350000	True	福建省	False	900001	reg
8	fsnd		370000	True	山东省	False	900001	reg
9	fsnd		440000	True	广东省	False	900001	reg
10	fsnd		460000	True	海南省	False	900001	reg
0	fsnd		140000	True	山西省	False	900002	reg
1	fsnd		220000	True	吉林省	False	900002	reg
2	fsnd		230000	True	黑龙江省	False	900002	reg
3	fsnd		340000	True	安徽省	False	900002	reg
4	fsnd		360000	True	江西省	False	900002	reg
5	fsnd		410000	True	河南省	False	900002	reg
6	fsnd		420000	True	湖北省	False	900002	reg
7	fsnd		430000	True	湖南省	False	900002	reg
0	fsnd		150000	True	内蒙古自治区	False	900003	reg
1	fsnd		450000	True	广西壮族自治区	False	900003	reg
